"STATION_ID","BEGIN","END","STATION_HEIGHT","LAT","LON","STATION_NAME","BUNDESLAND"
"02641",1994-10-01,2020-06-09,85,51.5185,12.9065,"Klitzschen bei Torgau","Sachsen"
"02700",1961-01-01,2020-06-09,416,48.8302,11.4872,"K<U+00F6>sching","Bayern"
"02704",1993-10-01,2020-06-09,76,51.7511,12.0094,"K<U+00F6>then (Anhalt)","Sachsen-Anhalt"
"02750",1949-01-01,2020-06-09,312,50.2523,11.3209,"Kronach","Bayern"
"02796",2000-06-01,2020-06-09,40,53.9156,12.279,"Laage (Flugplatz)","Mecklenburg-Vorpommern"
"02878",1947-04-01,2020-06-09,118,51.391,11.8788,"Lauchst<U+00E4>dt, Bad","Sachsen-Anhalt"
"02886",1970-01-01,2020-06-09,539,48.2176,9.9097,"Laupheim","Baden-W<U+00FC>rttemberg"
"02897",1990-08-30,2020-06-09,522,50.5808,9.2857,"Lautertal-H<U+00F6>rgenau","Hessen"
"02905",1969-01-01,2020-06-09,550,48.1849,10.8507,"Lechfeld","Bayern"
"02925",1957-01-01,2020-06-09,356,51.3933,10.3123,"Leinefelde","Th<U+00FC>ringen"
"02928",1863-01-01,2020-06-09,138,51.3151,12.4462,"Leipzig-Holzhausen","Sachsen"
"02947",1962-04-01,2020-06-09,286,51.1333,8.0348,"Lennestadt-Theten","Nordrhein-Westfalen"
"02968",1945-01-01,2020-06-09,43,50.9894,6.9777,"K<U+00F6>ln-Stammheim","Nordrhein-Westfalen"
"03015",1906-04-01,2020-06-09,98,52.2085,14.118,"Lindenberg","Brandenburg"
"03023",1951-01-01,2020-06-08,22,52.5181,7.3081,"Lingen","Niedersachsen"
"03031",1980-12-01,2020-06-09,92,51.6336,8.3945,"Lippstadt-B<U+00F6>kenf<U+00F6>rde","Nordrhein-Westfalen"
"03083",1991-10-01,2020-06-09,57,51.9267,13.8797,"L<U+00FC>bben-Blumenfelde","Brandenburg"
"03086",1985-03-01,2020-06-09,15,53.8025,10.6989,"L<U+00FC>beck-Blankensee","Schleswig-Holstein"
"03093",1954-12-01,2020-06-09,16,52.9724,11.1374,"L<U+00FC>chow","Niedersachsen"
"03098",1993-12-23,2020-06-09,387,51.2452,7.6425,"L<U+00FC>denscheid","Nordrhein-Westfalen"
