"Name","IdLandkreis","LAT","LON","closest_station_id","km_to_closest_station"
"Alt<U+00F6>tting","09171",48.2098044272,12.7052826752,"03366",16.9032350742793
"Neu-Ulm","09775",48.2982265453,10.1411558091,"03485",17.5478573979735
"Wei<U+00DF>enburg-Gunzenhausen","09577",49.0326858351,10.8936591358,"05440",3.59347183151912
"Weiden in der Oberpfalz","09363",49.6692496128,12.1545339322,"05397",2.18382233705155
"Uelzen","03360",52.9836349419,10.5475810531,"05146",4.8655716409427
"M<U+00E4>rkischer Kreis","05962",51.2626114418,7.71300809906,"03098",5.28095739886886
"Koblenz","07111",50.348516061,7.5795510239,"06242",9.29279754512691
"Bautzen","14625",51.2689135848,14.2310085239,"07393",20.140219923566
"Saalfeld-Rudolstadt","16073",50.637797959,11.3091162493,"04605",8.18514785280433
"Aichach-Friedberg","09771",48.4275701484,11.0527555565,"00232",8.18501610899247
"Amberg-Sulzbach","09371",49.4867511317,11.8009532083,"00151",4.34935835828961
"Bamberg","09471",49.893428617,10.8836637829,"00282",3.39901552096265
"Dingolfing-Landau","09279",48.641164618,12.6104771899,"07395",5.65275221060205
"Barnim","12060",52.8232279789,13.7037311303,"07389",12.6987839996786
"Bergstra<U+00DF>e","06431",49.6177012221,8.66011611597,"05906",14.4186669756817
"Goslar","03153",51.8746771574,10.400392667,"02039",11.9879441447016
"Hildesheim","03254",52.0902189983,9.94348097201,"07367",16.8408056008262
"Vechta","03460",52.6602901512,8.22305794318,"00963",11.3849715988106
"H<U+00F6>xter","05762",51.6849407394,9.17809149846,"05347",20.6573363139378
"Bad Kreuznach","07133",49.8248204055,7.68666499174,"04301",13.5327744787027
"Cochem-Zell","07135",50.1328800059,7.17431996528,"00766",9.41481950798084
"S<U+00FC>dwestpfalz","07340",49.2082747366,7.65886718981,"03939",5.50089315509069
"St. Wendel","10046",49.5195731082,7.1004332453,"05029",6.77863358440806
"Nordfriesland","01054",54.6095639996,8.88688779292,"04919",13.6044026406115
"Pinneberg","01056",53.7180840651,9.73686669973,"04039",9.41856692161563
"Gera","16052",50.8940170773,12.0826961871,"01612",3.54005083133063
"Bodenseekreis","08435",47.7334602866,9.40077001359,"06258",6.22423231084953
"Breisgau-Hochschwarzwald","08315",47.9249093559,7.92494089685,"00757",6.88727771047466
"Calw","08235",48.6789990614,8.6357698286,"05562",4.46378474921991
"Waldshut","08337",47.6971334745,8.21889239137,"05412",2.52867057352396
"Coburg","09473",50.267889506,10.9423260473,"00867",4.67741181246806
"Bremen","04011",53.1195434664,8.78049374679,"00691",8.37936576817138
"Bremerhaven","04012",53.5381662933,8.58850522385,"00701",0.989559168478813
"Limburg-Weilburg","06533",50.4274703547,8.19943723806,"06344",5.50567680544141
"D<U+00FC>ren","05358",50.8178950546,6.44556160998,"03623",15.1479413581482
"Essen","05113",51.433832766,7.01715391614,"01303",4.76880701890139
"Birkenfeld","07134",49.7125403895,7.27765459793,"02385",4.14663281385468
"Kaiserslautern","07312",49.4328526023,7.76067474783,"02486",0.823504826663631
"Neustadt an der Weinstra<U+00DF>e","07316",49.3418758196,8.15228785937,"05426",4.39423498456165
"Pirmasens","07317",49.1971270853,7.59436316477,"03939",0.810186225117078
"Merzig-Wadern","10042",49.4957645611,6.68048479703,"05433",11.4663233575551
"Harz","15085",51.8212958888,10.9585438222,"04032",12.2843979229907
"Emmendingen","08316",48.1485120637,7.89755038202,"01224",4.78965183046734
"Heidelberg","08221",49.4055152955,8.69417184974,"05906",14.899812640348
"Karlsruhe","08215",49.0818849258,8.56279664203,"05275",18.1963804918209
"Schw<U+00E4>bisch Hall","08127",49.1444689707,9.90893216762,"02575",6.5392282888176
"Schwabach","09565",49.3356205083,11.0235125889,"04280",14.5076858718438
"Prignitz","12070",53.1093267277,11.9618269267,"03196",23.7918557332499
"Gie<U+00DF>en","06531",50.5702779049,8.80751371735,"01639",12.081480818645
"Werra-Mei<U+00DF>ner-Kreis","06636",51.190756376,9.92890620729,"13701",4.17835793873381
"Oldenburg","03458",52.9880769073,8.38939656642,"00044",11.8828255227521
"Stade","03359",53.578976226,9.41807038986,"04857",12.984983822057
